regime,n_days,strat_CAGR,bmk_CAGR,excess,strat_Sharpe,bmk_Sharpe,strat_MaxDD,bmk_MaxDD,IR
Dot-com bust 1999-2002,1004,0.07448516634652491,-0.06907622725657092,0.14356139360309583,0.2552715801895137,-0.38527239502560195,-0.21962795863972595,-0.4751586146605081,0.8057317007800221
Recovery 2003-2007,1258,0.12157900521437348,0.12643246826656163,-0.004853463052188145,0.7639447013099189,0.7703279684481489,-0.13034205492121997,-0.13725490319098743,-0.08401262972480486
GFC 2008-2009,505,-0.16020297791142557,-0.10615311626312329,-0.05404986164830228,-0.5249143791339075,-0.17671746795417795,-0.5043197074736719,-0.5187372722906847,-0.5627544599993768
QE bull 2010-2019,2516,0.12669254358580728,0.1345789462740341,-0.007886402688226823,0.8997184678355943,0.8985605905095307,-0.16948255718849004,-0.19348917029836588,-0.11034122160331748
COVID 2020,253,-0.03622610125635828,0.1825292427678673,-0.21875534402422558,0.044390582535784054,0.6514829494996968,-0.36536900917308823,-0.3371725284698913,-1.3217587996983544
Inflation/bear 2022,251,-0.02782859710134622,-0.18240727005194923,0.154578672950603,-0.11288669640419333,-0.7625579616595244,-0.151038601733826,-0.24496392197775052,1.051407380787999
AI bull 2023-2026,874,0.10208732839730361,0.2258513634640169,-0.1237640350667133,0.443878936165616,1.1007274751741711,-0.12937229114957272,-0.18755221196416683,-0.8970816853804764
