,alpha_ann,alpha_t,alpha_p,R2,R2_adj,n_obs,beta_Mkt-RF,t_Mkt-RF,beta_SMB,t_SMB,beta_HML,t_HML,beta_MOM,t_MOM,beta_RMW,t_RMW,beta_CMA,t_CMA
CAPM,0.010284851782122021,0.5630007272502061,0.5734343887241824,0.6725013543569492,0.6724539663312448,6913.0,0.7096035280547394,33.37813977949405,,,,,,,,,,
FF3,0.009760477611326063,0.5525482924592804,0.5805727572687495,0.6810376291112469,0.6808991304699579,6913.0,0.7177589034512925,35.285849313400625,-0.10626446846141527,-4.60626750940474,0.10821375289547647,3.5626008048903186,,,,,,
Carhart4,-0.007712778197289439,-0.455873174751334,0.6484811804779702,0.7309867292120363,0.7308309600917191,6913.0,0.7641482887051304,43.16506644138418,-0.1016342708625251,-3.900892780091743,0.21570697206618913,9.068327625603565,0.2428699214927503,11.463720120466101,,,,
FF5,-0.01258949377366086,-0.753253254173342,0.45129774339762607,0.7233616578908025,0.723161398485772,6913.0,0.7992749728668995,43.24384132079688,-0.0485478644623212,-2.4694174991160134,-0.06193594615071072,-2.4877173237018484,,,0.24924792527780093,9.314230884332176,0.44216624235383795,10.172398309846193
FF5+MOM,-0.024890015077203616,-1.5572054558695834,0.11942171345685568,0.7600687034363351,0.7598602487911886,6913.0,0.8278792446751359,51.16891059217205,-0.04538586900082527,-2.2323259735114114,0.06455375751579745,3.1331628034969072,0.21244293070416645,12.103374147280427,0.24317347675854323,9.0206024793963,0.33360142129295034,8.891066630466398
