factor,mean_IC,std_IC,IC_IR,t_stat,hit_rate,n_periods
momentum,0.006648711065339249,0.22160406018618922,0.03000265906569165,0.38771980220131347,0.5329341317365269,167
residual_momentum,0.01095605397939721,0.16291135620341424,0.06725162833778923,0.8690825696399915,0.5269461077844312,167
low_volatility,-0.0014892123731233885,0.2675501719275098,-0.00556610508748571,-0.07192992990476237,0.49101796407185627,167
low_beta,0.004803532483577003,0.28189095874113956,0.017040392160956416,0.22021039747219903,0.5149700598802395,167
reversal,0.023921850670064883,0.16341476182810621,0.1463873300211884,1.8917412125479263,0.5149700598802395,167
COMPOSITE,0.011428647274671362,0.22201980046077266,0.0514758019372719,0.6652139632548584,0.5568862275449101,167
