,alpha_ann,alpha_t,alpha_p,R2,R2_adj,n_obs,beta_Mkt-RF,t_Mkt-RF,beta_SMB,t_SMB,beta_HML,t_HML,beta_MOM,t_MOM,beta_RMW,t_RMW,beta_CMA,t_CMA
CAPM,-0.004069132614028844,-0.18680300309512637,0.8518150922369702,0.7685210946430288,0.7684876003722493,6913.0,1.1421222270802336,44.32150831874409,,,,,,,,,,
FF3,-0.010615166698395007,-0.5242744066286109,0.6000876952042287,0.7861377337854241,0.7860448713163773,6913.0,1.1368014890486022,45.041260368055234,0.10866420620196791,3.400761291975308,0.24296044305125414,4.784536121735139,,,,,,
Carhart4,-0.0070849958890689966,-0.34423014495027593,0.7306732136261869,0.7870371079992553,0.7869137942227639,6913.0,1.1274293116204255,50.329163193134036,0.10772875441301107,3.43818098217788,0.2212432869199259,5.164080091545271,-0.049067690458548294,-1.5558717624902656,,,,
FF5,-0.01007307012757732,-0.4941647934937655,0.6211898015362358,0.7867292550080669,0.7865748676148485,6913.0,1.1368934206430739,49.005614388773765,0.09433838274933137,2.7973743179726154,0.22860221357481006,3.608989629465293,,,-0.05762009028507181,-1.2564820405129664,0.08320463045566467,1.3456791763199052
FF5+MOM,-0.0068044409387167494,-0.33000974200937705,0.7413926010550587,0.7878726668861843,0.7876883685950341,6913.0,1.1292923803739399,53.292920176163605,0.09349814269725819,2.8120569244039513,0.19498998468656886,3.58212483160427,-0.05645266140668432,-1.8307028092118212,-0.056005921320477804,-1.2414939318316678,0.1120536632933927,1.920389435627548
