,CAGR,vol,Sharpe
Equal-weight ENTIRE universe,0.09239857109454763,0.1686346051937135,0.6106031269547634
Strategy EW (top 50),0.07017498009522449,0.13501516149391926,0.5719054719401178
Strategy IC-wtd (top 50),0.0807516363700731,0.20640314900184237,0.47886103432311683
