CAGR,vol,Sharpe
0.0683936955264941,0.16816191323386573,0.4786775591706051
0.08229740919248862,0.17248930921401426,0.5463963208368496
0.08320003311153323,0.1708397627467307,0.5548162665986363
0.07952221855050334,0.17057221835893832,0.5355402214470003
0.06187637893753006,0.17357327835829378,0.43394297030376217
0.08406510658364685,0.17613669727282552,0.5480019815083671
0.088806480733715,0.16890022367954974,0.5906566564270849
0.06230488794073308,0.17618652216542685,0.43250901144062376
0.07474213459179513,0.1716876394380839,0.5068821573890504
0.07153808365397074,0.1718465789054359,0.4893390284192797
0.06991343942989792,0.1714180586080265,0.48183218055125554
0.07544009145610353,0.17209324824457486,0.5102888535506261
0.08093666637588748,0.17328548026819998,0.5369449654105545
0.0779553022091739,0.1671918701300355,0.5346185476078048
0.07563401772565403,0.16682517056720433,0.5217684019178939
0.07409570834185075,0.17526696625821184,0.49713785345608136
0.07359035847192463,0.1713355462613196,0.5024159070494831
0.07532498861613424,0.1695185384704987,0.5146372216377928
0.08070664108617853,0.16695313865537914,0.5501048200891563
0.07511437754536465,0.17087592032516552,0.5117101288241568
0.0754731241250679,0.17367842242133882,0.5072071282538065
0.060361004692166764,0.1712830387791873,0.42907973232769486
0.0782573016491328,0.17670343887163364,0.5176389454295737
0.0658518654515694,0.17168923606294456,0.4590626203168566
0.07338022682122447,0.1684665226687644,0.506770004600184
0.07802560058366392,0.17540840760126974,0.5173602822265734
0.08192884443027704,0.171079517497681,0.5473104217451875
0.07159138256010555,0.1705202455832311,0.49205990279783934
0.06125663965288597,0.17609346417876262,0.42740680158491967
0.07345272624395771,0.17325974235800004,0.4971582743990891
0.07545451568171013,0.16693074794661095,0.5204924782404938
0.0774842811323444,0.17311964020216872,0.5197670959530793
0.07682008976107357,0.1755583934685009,0.5109855636316804
0.08559105163208813,0.17529807040980053,0.5577633356526813
0.06552306409114528,0.16818214139591106,0.4626764872199328
0.07272661161574723,0.17364857082333407,0.49293183479857644
0.07818909479127467,0.17546984923064582,0.51834300914341
0.08659983910242497,0.17302695702356988,0.568288410953411
0.08279974599784157,0.17482569044620952,0.5443865601207023
0.06368393466170175,0.16994858949881522,0.449742392639393
0.07148787602563278,0.17723824022669135,0.4796608072675021
0.06912347598983848,0.1691521630434512,0.48197286364124997
0.06937127545172861,0.17016016074150278,0.4805189691259149
0.08330560909163909,0.17258275734347417,0.5518812629982791
0.08649913430125977,0.17225226370053706,0.5693392892876106
0.07908166129702598,0.17570813691079476,0.5233604982161276
0.08318744394587796,0.174495322992316,0.5464151141171204
0.07768330549671898,0.1726116656810029,0.5214408214590066
0.07634995933216349,0.16966330757874212,0.5199506546963965
0.08472687911241983,0.17145904819810134,0.5620471747941325
0.07359572510308343,0.17339678761502422,0.49750776243200534
0.07024352155685687,0.17042386956803718,0.4845168843023292
0.07772026455488845,0.17344042490728598,0.5197233066655133
0.08009788593073242,0.17106136778307093,0.5376540395532217
0.07859499857325813,0.1713382144082281,0.5291084314690966
0.0673903429588989,0.17093166858710995,0.46811790172244466
0.07289289058020065,0.17152378331373472,0.4980698295715494
0.07102097905985127,0.1698412335992546,0.49001972802973076
0.06885041965258987,0.16692413222954924,0.4835027553411292
0.06640527896354476,0.1709965795933541,0.46299996504111784
0.08516050401239084,0.1740576208373609,0.5590500864213267
0.06587719514993862,0.17312903948758246,0.45680465281577703
0.07273077620430568,0.1703177216123691,0.4986825982321144
0.07728723113805214,0.17144293772266467,0.5216057695470185
0.07902482463882632,0.1767360179379199,0.5204929974270315
0.08196077092957599,0.16993915249322644,0.5507592652872253
0.06734292262543828,0.17642413937573576,0.4584871467076915
0.07436846246690432,0.17102225011536087,0.5061550267579021
0.07421532030902811,0.17045172177812087,0.5065391639315278
0.0711226182047231,0.17173750146935055,0.48764094463351165
0.08098511592550506,0.16946218033062616,0.546011265035166
0.0719545909540662,0.17938759902173793,0.47838427438726394
0.06567144351220056,0.16993753385608443,0.4607455167897476
0.07683238284560501,0.17211030815485573,0.5184659984229533
0.07801776670613947,0.17202173719460187,0.5244351929130218
0.06913439424526957,0.17347316099810872,0.4739281107476669
0.06047020923358426,0.17400457853351375,0.42625867364059916
0.07831300811528386,0.17166386720225918,0.5268302863247362
0.06713460616054934,0.1758624338759455,0.4583760971876185
0.07768682756009149,0.16803826532708757,0.530996767136705
0.07402022427605415,0.1714476223533504,0.5041843702478863
0.06606637801229498,0.1756550606535759,0.453467404993509
0.07834908800834306,0.18008297339874205,0.5101604040162288
0.08290067938240742,0.17126081035327953,0.5530340137713239
0.07013937146454907,0.178654174711631,0.47023905661390153
0.07819782455155377,0.1747145892594985,0.520330213412463
0.06353083768336099,0.1758626168012645,0.4393914367815261
0.09179049929899108,0.1765803944198498,0.5874405496570041
0.0791169273558674,0.17260963689366896,0.5288515190917829
0.07718666987522349,0.17247967177651236,0.5188034846387499
0.07407365909086461,0.17369028925223598,0.500703895599524
0.06767187471567615,0.17052588139128738,0.47080723412675446
0.07217643281173958,0.17337028324214324,0.48967857457226427
0.06829884488681182,0.17474055773120947,0.46722563107474646
0.07399170428095592,0.17325284919077896,0.5007524296184127
0.07878506668904017,0.17508032405257387,0.5218187101372804
0.08765885481479141,0.1744249044384349,0.5715797355551164
0.06410713166102089,0.17356206063140797,0.44622071622146536
0.07685979025466194,0.17378009256158014,0.5148823772896071
0.07548803129170478,0.17459485242230147,0.5060289835646756
0.06972513703539795,0.17611111966992193,0.4721200812000483
0.07419650919165433,0.1702883881164156,0.506870992695783
0.07369442651965019,0.17484722679864734,0.4953756338324793
0.07622137677833618,0.1732173908819697,0.5133475764075394
0.07547784480777242,0.1670243284662783,0.5208151003755339
0.06900703279717035,0.1734491284093866,0.47300904048684717
0.07531610142537914,0.17392577243303814,0.5060937017484362
0.06992644215559052,0.16577478205241278,0.49187769041460444
0.07703256785705315,0.17788154441270213,0.506902261724718
0.06993865002384725,0.1728538759098053,0.47897381506366316
0.08828040211687038,0.17172170313619498,0.5803811787967565
0.0847563577059669,0.17651238721168866,0.5511120137305345
0.07972315326607293,0.17330490654915617,0.5309264674010907
0.07285433229042027,0.17516768922128298,0.4902134725262561
0.07752447167997945,0.16927596079871535,0.5272406968266643
