param,value,CAGR_net,CAGR_gross,Sharpe_net,Sharpe_gross,MaxDD,ann_turnover,IR_vs_bmk
n_long,25,0.07872131723186215,0.09056628714573556,0.4078953405648699,0.47122795793275074,-0.5564936752549285,13.653626039524086,-0.08836062936669101
n_long,50,0.08035510119298594,0.09159860120225982,0.4220680081592336,0.4834100284530365,-0.552443266547618,12.946224528570884,-0.08853308769053397
n_long,75,0.08400184312345038,0.09422748773440004,0.4453147482956625,0.5015998068647991,-0.5453692403266652,11.741221752898198,-0.0658416570447578
n_long,100,0.08762548477254617,0.09695490355330305,0.4664727186144547,0.5178680396903269,-0.5427567087293472,10.681681941581571,-0.036402872113703036
n_long,150,0.09272375248243847,0.10048201502633614,0.49311702707061583,0.5354838130390592,-0.5356840422662479,8.848903906808692,0.014422341583374387
rebalance,ME,0.08035510119298594,0.09159860120225982,0.4220680081592336,0.4834100284530365,-0.552443266547618,12.946224528570884,-0.08853308769053397
rebalance,QE,0.09304066030983371,0.09738776885099099,0.48868739086129104,0.511972106334576,-0.4866341647128034,4.967319138325061,0.02018779380816332
weighting,equal,0.0819111801108956,0.09212342988137046,0.43419450078130345,0.49060940651473706,-0.5371146738279049,11.748517690378995,-0.08366930895707564
weighting,score_tilt,0.08035510119298594,0.09159860120225982,0.4220680081592336,0.4834100284530365,-0.552443266547618,12.946224528570884,-0.08853308769053397
weighting,inverse_vol,0.08000210169611943,0.08979488047811435,0.4351562272786604,0.49178583636767564,-0.4963296657071705,11.286831864063391,-0.10667778130116182
mom_lookback,126,0.08027095028656639,0.09216387477494714,0.42646666320980897,0.4925975445047178,-0.5452240730093505,13.689054093260774,-0.09229336748163584
mom_lookback,189,0.08255025243969993,0.09387178871705548,0.43622479843740214,0.49837658376182364,-0.5400187209621257,13.007513438160023,-0.07148852799276875
mom_lookback,252,0.08035510119298594,0.09159860120225982,0.4220680081592336,0.4834100284530365,-0.552443266547618,12.946224528570884,-0.08853308769053397
mom_lookback,378,0.07903100899632864,0.09021808235672935,0.41461247339491036,0.47569061787654693,-0.5506868642066971,12.896209988225651,-0.09906340083420452
rev_lookback,10,0.09363929769015011,0.10465320706779369,0.49962840315838675,0.5599486402594626,-0.5053882075289924,12.528444505510604,0.017822269748594438
rev_lookback,21,0.08035510119298594,0.09159860120225982,0.4220680081592336,0.4834100284530365,-0.552443266547618,12.946224528570884,-0.08853308769053397
rev_lookback,42,0.0908472565933156,0.09984330756314042,0.48468520585665925,0.5341898215585419,-0.5549316747510527,10.269843231927076,-0.00554613649555914
max_weight,0.03,0.08111198919719564,0.0920659444060501,0.42804502621988094,0.48819199871061625,-0.5470901757019617,12.606344926682041,-0.08537411586036867
max_weight,0.05,0.08035510119298594,0.09159860120225982,0.4220680081592336,0.4834100284530365,-0.552443266547618,12.946224528570884,-0.08853308769053397
max_weight,0.1,0.08008178991306725,0.09133989401773812,0.4203115097877857,0.4816854030353272,-0.5525246821055909,12.966211000067064,-0.09044500462758874
turnover_buffer,0.0,0.08035510119298594,0.09159860120225982,0.4220680081592336,0.4834100284530365,-0.552443266547618,12.946224528570884,-0.08853308769053397
turnover_buffer,0.25,0.08359786898411325,0.09398348617160579,0.44127456378678287,0.49808702545703654,-0.5486892078728629,11.92816998410108,-0.06297409075319883
turnover_buffer,0.5,0.08685718016127475,0.09634937115073372,0.46024707582818136,0.5122327096953242,-0.5318026493717707,10.874240315412733,-0.036808303210164886
turnover_buffer,1.0,0.08454401494884567,0.09271538335179819,0.44986683722206666,0.49511488385436936,-0.5322936313423872,9.386998809576498,-0.05806466229006764
min_dollar_volume,1000000.0,0.08016209090429172,0.09136620594598877,0.42115680077445744,0.4823334289320334,-0.552753792278859,12.90320370847308,-0.09031504636422073
min_dollar_volume,5000000.0,0.08035510119298594,0.09159860120225982,0.4220680081592336,0.4834100284530365,-0.552443266547618,12.946224528570884,-0.08853308769053397
min_dollar_volume,20000000.0,0.07918703152322037,0.09051229401922578,0.41500449804150663,0.4766992771613494,-0.5495608833001521,13.053281988680004,-0.09888661225117733
