spec,window,turnover_per_rebal,ann_turnover_1way,ann_cost_drag,mean_universe,unfilled_per_rebal
EW (a priori),IS 1999-2012,0.9766388029988707,11.673066567851315,0.009938777974356938,272.5595238095238,0.09278839568262086
EW (a priori),OOS 2013-2026,1.1849296762955535,14.17304446540778,0.012508090020873164,427.11728395061726,0.006815390766877763
EW (a priori),FULL 1999-2026,1.0794766508179008,12.946224528570884,0.011243500009273877,348.43333333333334,0.05048948031586099
IC-weighted (IS-fitted),IS 1999-2012,1.4689143948572139,17.556885371533937,0.015036824114087022,272.5595238095238,0.14352717433538106
IC-weighted (IS-fitted),OOS 2013-2026,1.7155144766444825,20.519414312034183,0.018268254833555098,427.11728395061726,0.014732640081973718
IC-weighted (IS-fitted),FULL 1999-2026,1.5927860407917094,19.102373075359328,0.0167142274078369,348.43333333333334,0.08008726626097443
